"","popularity","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"15901",35,209266,0.655,0.364,5,-12.275,0,0.0826,0.2,0.00126,0.108,0.179,97.295,4
"53862",75,194840,0.778,0.463,11,-7.603,1,0.0389,0.546,0.00289,0.0731,0.496,121.999,4
"108588",19,187360,0.827,0.215,2,-11.353,1,0.0651,0.887,0.00037,0.055,0.85,123.942,4
"38510",54,114211,0.539,0.621,3,-7.281,1,0.0259,0.834,0.922,0.256,0.696,106.14,4
"69418",28,275840,0.745,0.795,1,-10.724,1,0.0664,0.0741,6.42e-06,0.353,0.78,129.997,4
"75886",20,159626,0.194,0.0221,11,-26.963,1,0.0369,0.986,0.972,0.0928,0.105,100.919,4
"19359",0,169440,0.472,0.701,2,-4.563,1,0.0369,0.0387,0,0.107,0.515,79.805,4
"85445",40,244600,0.453,0.522,0,-7.178,1,0.034,0.258,0,0.375,0.242,107.018,4
"59826",0,201000,0.41,0.85,9,-6.209,0,0.0442,0.423,0.487,0.099,0.329,79.961,4
"46930",16,206000,0.366,0.774,8,-3.103,1,0.0488,0.0153,0.000643,0.219,0.12,170.055,4
"103584",0,179266,0.374,0.344,8,-10.95,1,0.0272,0.586,9.84e-06,0.144,0.304,75.683,3
"105705",23,93203,0.785,0.187,1,-15.433,1,0.0713,0.942,0.948,0.109,0.516,144.292,4
"15917",33,186206,0.689,0.309,8,-13.003,1,0.0304,0.739,1.23e-05,0.115,0.277,116.04,4
"55108",63,230204,0.663,0.412,5,-8.195,0,0.364,0.00434,0.019,0.215,0.356,98.023,4
"16077",0,301333,0.169,0.049,2,-23.409,1,0.0385,0.956,0.017,0.15,0.0799,136.065,4
"109176",56,600121,0.799,0.484,2,-10.484,0,0.0409,0.564,0.93,0.0863,0.136,128.006,4
"91218",2,223973,0.344,0.931,1,-3.759,1,0.0783,0.00104,0,0.0903,0.251,148.104,4
"70894",24,161014,0.763,0.704,10,-5.148,1,0.118,0.0907,0,0.148,0.359,131.871,4
"20835",0,185194,0.827,0.757,6,-2.985,0,0.0564,0.283,1.56e-06,0.102,0.374,95.983,4
"65956",43,246000,0.415,0.56,9,-6.385,0,0.0327,0.366,0,0.319,0.365,109.303,4
"104586",61,209614,0.581,0.839,4,-5.968,1,0.0517,0.121,1.95e-06,0.102,0.413,146.928,4
"15307",58,154456,0.732,0.413,9,-6.353,1,0.0702,0.287,0,0.0565,0.761,92.066,4
"84612",29,177535,0.589,0.763,2,-6.565,1,0.0367,0.158,0,0.143,0.903,115.111,4
"69081",46,204923,0.756,0.607,11,-11.213,1,0.048,0.173,1.43e-05,0.0902,0.835,129.986,4
"74949",39,217560,0.445,0.402,0,-10.781,1,0.0283,0.709,2.11e-06,0.108,0.231,129.944,4
"94954",58,144040,0.531,0.487,2,-10.321,0,0.22,0.911,0.00201,0.222,0.749,75.487,4
"24261",10,457386,0.705,0.851,8,-8.907,1,0.0896,0.00958,0.393,0.106,0.454,124.983,4
"96990",0,259773,0.378,0.201,7,-13.472,1,0.039,0.939,0.927,0.562,0.0775,94.768,3
"14099",0,179533,0.761,0.475,0,-9.954,1,0.0304,0.297,0.000256,0.275,0.828,95.03,4
"70658",46,266382,0.507,0.501,0,-9.475,1,0.0287,0.282,2.23e-05,0.0947,0.134,137.975,4
"90448",33,161173,0.402,0.422,4,-8.605,1,0.0294,0.795,0,0.0874,0.551,109.856,3
"38470",57,162040,0.472,0.746,11,-4.816,1,0.0321,0.00581,0.663,0.0999,0.403,97.44,4
"109470",53,197647,0.555,0.954,5,-1.064,1,0.0849,0.000597,0.276,0.0292,0.4,169.956,4
"72403",56,261346,0.514,0.53,7,-7.743,0,0.0315,0.0908,0.0493,0.117,0.13,90.005,4
"92646",25,253106,0.589,0.81,4,-4.307,1,0.0307,0.0779,5.46e-06,0.0378,0.793,136.263,4
"81148",71,147579,0.605,0.371,1,-10.487,0,0.0431,0.396,0,0.147,0.496,149.566,4
"56749",0,159293,0.804,0.323,0,-11.127,0,0.305,0.308,0,0.15,0.456,87.019,4
"41146",32,286120,0.207,0.756,0,-3.96,1,0.0456,0.000744,0,0.0819,0.408,139.656,4
"65002",78,168227,0.826,0.553,1,-10.121,0,0.234,0.163,4.12e-05,0.135,0.4,140.037,4
"33806",24,270000,0.521,0.827,10,-7.225,0,0.0514,0.0412,0.0235,0.0999,0.411,101.99,4
"69874",30,194175,0.681,0.54,5,-8.691,0,0.0591,0.792,0.00292,0.113,0.207,90.935,4
"16315",39,1798933,0.683,0.264,5,-9.791,1,0.336,0.899,0,0.141,0.549,101.052,4
"8934",65,164653,0.651,0.653,0,-9.731,1,0.0545,0.365,0.000117,0.0742,0.729,164.912,4
"34971",68,229436,0.646,0.863,0,-2.046,0,0.0367,0.00203,0,0.0686,0.459,120.08,4
"73663",31,456582,0.653,0.663,2,-10.157,1,0.0773,0.00186,0.885,0.648,0.227,124.007,4
"77975",41,227000,0.642,0.532,2,-9.034,1,0.0402,0.487,0,0.391,0.749,79.979,4
"39203",66,148933,0.448,0.336,2,-13.124,1,0.0322,0.00145,0.838,0.0661,0.0364,107.351,4
"27339",19,289957,0.467,0.799,2,-7.711,0,0.0471,0.00119,0.421,0.144,0.152,174.033,4
"13434",10,265333,0.812,0.619,10,-8.411,0,0.15,0.00253,0.104,0.0449,0.59,123.069,4
"103728",0,155706,0.803,0.338,6,-14.029,1,0.0349,0.196,0.0367,0.097,0.912,106.84,4
"49202",41,236800,0.489,0.915,10,-2.248,0,0.084,0.0663,0.000257,0.0767,0.23,149.96,4
"64938",0,125960,0.558,0.341,9,-8.722,0,0.0452,0.727,0,0.0601,0.638,138.656,3
"109754",36,393448,0.712,0.672,11,-9.309,1,0.0538,0.111,0.883,0.0864,0.122,121.989,4
"97056",54,183651,0.655,0.489,2,-5.375,1,0.0592,0.726,0,0.865,0.531,151.978,4
"100088",45,151484,0.647,0.813,9,-5.076,1,0.0758,0.135,0,0.173,0.826,153.994,4
"4502",21,335600,0.48,0.551,2,-11.776,1,0.0422,0.415,0.624,0.0727,0.0954,91.973,4
"12333",45,322306,0.497,0.294,5,-13.787,1,0.0304,0.241,0,0.1,0.308,173.993,4
"16395",0,58946,0.373,0.102,7,-24.802,1,0.0525,0.995,0.867,0.196,0.325,152.04,3
"46992",16,322840,0.769,0.797,1,-8.155,1,0.038,0.00514,0.0988,0.156,0.372,128.843,4
"98301",60,302191,0.653,0.351,5,-12.776,1,0.648,0.467,0,0.107,0.307,116.6,3
"83753",30,127826,0.689,0.705,4,-5.357,1,0.0462,0.0872,0,0.124,0.27,115.231,4
"25764",55,199678,0.712,0.829,0,-5.847,1,0.0248,0.125,4.85e-06,0.0729,0.769,123.814,4
"92990",22,124598,0.714,0.958,9,-3.923,0,0.0767,0.334,0.223,0.285,0.773,103.991,4
"52405",29,131546,0.601,0.568,0,-9.323,1,0.03,0.81,0.672,0.141,0.899,106.688,3
"54284",12,260000,0.661,0.804,0,-7.654,1,0.0414,0.00297,0.912,0.115,0.0352,160.073,4
"74452",42,284466,0.796,0.545,9,-8.117,1,0.0603,0.116,0.0157,0.0812,0.62,140.013,4
"94956",50,162412,0.878,0.185,7,-16.199,0,0.0727,0.94,0.339,0.103,0.539,114.594,4
"78270",34,209382,0.668,0.947,9,-2.778,0,0.0819,0.0868,0,0.797,0.881,129.828,4
"8044",0,143093,0.699,0.726,7,-5.364,1,0.0726,0.575,0,0.655,0.877,119.185,4
"17622",44,284454,0.589,0.719,7,-8.746,0,0.0549,0.000578,0.115,0.104,0.327,110.002,4
"54",68,220239,0.447,0.393,5,-8.65,1,0.038,0.785,0,0.28,0.564,73.139,3
"105967",5,99000,0.701,0.57,3,-9.777,0,0.0602,0.602,0.871,0.0984,0.858,160.035,4
"59260",0,374000,0.181,0.351,9,-21.483,1,0.0515,0.893,0.952,0.115,0.241,112.707,4
"51883",3,60250,0.857,0.8,0,-8.476,1,0.209,0.228,0.00517,0.298,0.488,106.566,4
"59650",0,367124,0.208,0.0956,0,-21.139,1,0.0411,0.931,0.858,0.107,0.0342,95.581,3
"16200",0,449813,0.15,0.0701,2,-21.872,1,0.0456,0.91,0.852,0.077,0.0903,181.584,3
"78263",34,112727,0.772,0.551,1,-7.493,1,0.0611,0.514,0,0.217,0.911,131.996,4
"42454",12,38493,0.334,0.995,7,-3.6,1,0.224,0.000585,0.00203,0.519,0.0677,132.456,4
"75628",22,382666,0.306,0.108,11,-22.479,0,0.0322,0.938,0.938,0.436,0.154,74.092,3
"50929",20,232826,0.407,0.957,9,-1.84,1,0.0693,0.00149,2e-04,0.176,0.372,141.595,4
"11338",67,234173,0.584,0.7,6,-4.251,1,0.0506,0.512,2.43e-05,0.13,0.549,163.953,4
"112437",41,133173,0.911,0.685,4,-8.672,1,0.172,0.265,0,0.0907,0.726,99.042,3
"15436",50,162784,0.512,0.323,2,-10.225,1,0.226,0.208,0,0.0862,0.434,87.863,4
"48651",64,149725,0.8,0.832,0,-5.497,1,0.266,0.087,0,0.322,0.736,106.983,4
"20670",0,118466,0.904,0.601,2,-5.561,1,0.198,0.0305,0,0.615,0.761,87.037,4
"13082",16,470342,0.824,0.601,4,-7.681,0,0.0628,0.000353,0.019,0.0382,0.325,124.004,4
"27659",49,264827,0.418,0.917,4,-3.202,1,0.0396,0.000444,0.068,0.102,0.0655,173.964,4
"92528",27,240879,0.607,0.743,7,-5.771,1,0.0382,0.156,6.81e-05,0.389,0.615,179.989,4
"58888",20,253893,0.722,0.977,7,-8.869,1,0.0827,0.00777,0.833,0.183,0.517,124.954,4
"62482",41,201700,0.686,0.257,0,-12.066,1,0.0525,0.921,0.00462,0.116,0.399,142.128,4
"538",58,280226,0.614,0.283,0,-8.008,1,0.027,0.472,0,0.114,0.331,107.673,3
"95758",27,288560,0.8,0.722,0,-6.587,0,0.0427,0.38,4.72e-05,0.0689,0.947,94.41,4
